Size_MB,CPU_Node,Pattern,IPC_mean,IPC_std,Cache_Refs_mean,Cache_Refs_std,Cache_Misses_mean,Cache_Misses_std,Lat_ns_mean,Lat_ns_std
381.5,0,Sequential,2.056330353433984,0.01642201911531891,44882885.666666664,171784.10150793608,999561.3333333334,1682.5635863830591,27165216.666666668,92059.55522498586
381.5,1,Sequential,2.1131858980426412,0.05293765790041109,44984575.0,196541.55593325972,997452.3333333334,2203.268834154279,25979771.333333332,985136.1616041826
381.5,2,Sequential,2.0296307164367025,0.013747392652307892,45027143.0,47885.11938657631,1000316.6666666666,1130.831650698822,27164387.333333332,159670.9681591769
381.5,3,Sequential,2.04301752814356,0.021301690890989003,44828345.666666664,178135.50021698527,999681.6666666666,1701.0272060009963,27085923.333333332,188897.86495058352
381.5,4,Sequential,1.9699478385572629,0.03592239765485277,44987966.333333336,191750.4510282976,1000470.6666666666,1944.0233766312815,27992855.333333332,456057.1915687281
381.5,5,Sequential,2.0359132124414794,0.0025327256622402565,44793893.666666664,128032.77707507386,998932.0,378.3093971870115,27275350.333333332,138436.82424926624
381.5,6,Sequential,1.9998054923382353,0.033455563363225665,44814040.666666664,272279.20145362226,1002361.6666666666,2539.467835765771,27595357.0,730237.8873449392
381.5,7,Sequential,2.0284538828483076,0.04753432065450657,44827245.0,208710.92804642502,1001068.6666666666,1858.8176050621234,27190190.333333332,853526.7784033231
381.5,0,Random,0.48756141629299754,0.01133724827864229,328307597.3333333,875932.8425970922,130613665.33333333,66149.88163422684,1090705429.0,25816604.87512908
381.5,1,Random,0.4990844311037614,0.001235490253189072,328849134.0,310494.75358315906,130686208.66666667,57911.64523267799,1064126582.0,2483330.620616997
381.5,2,Random,0.4801696136869453,0.0023533514831302455,328221438.0,767895.4594122822,130658264.0,52720.75964930703,1107087093.3333333,5842763.774726782
381.5,3,Random,0.48059103907786266,0.0012183076409177118,328398404.3333333,488367.14688325307,130657680.33333333,49523.2297030618,1106317955.0,2574310.6304159695
381.5,4,Random,0.46881904861920826,0.0007687672354167831,327809476.0,403129.4710147928,130701754.33333333,37203.80134998155,1134096522.0,1041324.955893212
381.5,5,Random,0.47084059244931864,0.0009580817432026858,327816942.0,628478.0224277271,130683758.0,26395.744770701203,1129687932.6666667,2499881.6837454974
381.5,6,Random,0.4696173386387558,0.0004317616783827062,328249993.0,736640.5746771398,130767663.33333333,62542.798318875655,1132274686.0,743199.6892280476
381.5,7,Random,0.4695301248271722,0.0012259900680414758,328302762.0,286238.4366130214,130748730.33333333,53120.78201189772,1131488561.0,2979254.702519519
762.9,0,Sequential,2.114138905108091,0.024847553101086713,84960953.33333333,103286.88335031811,1048801.0,3690.8408256114217,54325154.0,324431.59595308633
762.9,1,Sequential,2.1966778637651934,0.01725245051249244,85645112.66666667,202547.85040796874,1050255.0,3506.045445607724,53106806.666666664,507089.98740547907
762.9,2,Sequential,2.099441711464903,0.010111780779002849,85055813.0,185498.6063254025,1052951.3333333333,3858.620248511406,55712424.333333336,348588.09234236454
762.9,3,Sequential,2.1284769417614586,0.029181782614218565,85016032.0,273817.2849815487,1049655.6666666667,2079.646177171064,55025078.0,922778.7925362538
762.9,4,Sequential,2.115608748483673,0.02548478258898196,84792661.66666667,142814.06711603107,1050307.6666666667,2426.2874703729744,55455612.666666664,747223.3006004445
